Block Hash: ac80c8ae49c50ad2289c346a33f088a4d7ad7929067b3616ebd5285afc032098
Previous Hash: a2ff27c7c419b93f232daba5b60176dba2c5a0e7434806f783f52a4437b64013
Merkle Root: 7dc5ff3a50c3e8398d2118db4472abde1c029d41473b664d52d37a95e89feea5
Random Number: 614191688
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Alice sends $19 to Emily
- Charlie sends $21 to Bob
- Emily sends $17 to Alice
- David sends $37 to Alice
- Emily sends $19 to David
- Charlie sends $39 to Bob
- Charlie sends $22 to Alice
- Emily sends $18 to Alice
- Charlie sends $12 to David
- Emily sends $35 to Charlie
==================================================
