Block Hash: ffd4c8c4293397c6650a013a22b8324dd5d0063f8849dce35a7b33e62f4af787
Previous Hash: d668c8d712d291584abb8dda598f5eadaae2500d5f22004808c2fbe4f3b09c99
Merkle Root: 9e4186253c68d4385fadc35aba7d416b0b32c8460317e27074ddf9b621e2f9b1
Random Number: 545683207
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- David sends $44 to Charlie
- Charlie sends $31 to Alice
- Charlie sends $50 to David
- Emily sends $21 to Bob
- Charlie sends $44 to Alice
- Bob sends $14 to Alice
- Alice sends $24 to David
- Alice sends $23 to Bob
- Alice sends $31 to Bob
- Charlie sends $36 to Bob
==================================================
