Block Hash: d424e11cc20fe80e2674ccdf354e92f33c3c106de6df6292244641033d805dac
Previous Hash: 1ed975a842e7f722286579f932db71947d8e345eef082ddf8f55acd97adf81cb
Merkle Root: 14fe9924aa6a7a159510367cf96085bb461de6b8a92607a9dfab7e84ad03db6f
Random Number: 711194122
Forward Hash: 0
Timestamp: 2023-11-17 11:13:05
Transactions:
- David sends $40 to Alice
- Charlie sends $11 to Bob
- Bob sends $33 to David
- Alice sends $26 to Bob
- Emily sends $30 to David
- Charlie sends $50 to Bob
- Bob sends $10 to Charlie
- Bob sends $44 to David
- Emily sends $49 to Charlie
- Emily sends $19 to Charlie
==================================================
