Block Hash: b4dd8592b5e1f8c15b20076bb0e7a17ba9716d4ddaed76ced5f8d8ddcf5aa597
Previous Hash: 9bb51b31b5cf0058f4ee48281e6988815c9f60d9482b955bb0b6203122e588bf
Merkle Root: b39fd479edc6e4800030df490f7b8d2dbdfb45211e7315ffed05097a79c3254c
Random Number: 906568730
Forward Hash: 0
Timestamp: 2023-11-17 11:12:47
Transactions:
- David sends $23 to Emily
- Alice sends $35 to Bob
- Bob sends $31 to Charlie
- Charlie sends $12 to David
- Bob sends $26 to Charlie
- Alice sends $26 to Bob
- Alice sends $12 to David
- Emily sends $12 to Bob
- Charlie sends $23 to Alice
- Emily sends $14 to Bob
==================================================
