Block Hash: aa82d649fdc95049d1ca87d6797ff0f84d660c0621e7c902308bef1c55a50cd4
Previous Hash: af201b708167ca2222dcc4a15fdcac6890078ea86e726a0c4217869466b58a9b
Merkle Root: afb1b91fc5a85c158e2c9dfcce3bb12c80139caa044436a470138667be072a60
Random Number: 349277456
Forward Hash: 0
Timestamp: 2023-11-17 11:12:39
Transactions:
- Alice sends $25 to Bob
- David sends $47 to Alice
- Bob sends $50 to Emily
- Charlie sends $42 to Alice
- Charlie sends $25 to Alice
- Emily sends $17 to Alice
- David sends $29 to Emily
- Emily sends $14 to David
- Emily sends $33 to Charlie
- Emily sends $13 to Charlie
==================================================
