Block Hash: 07bba4355e96c818e233669ed91ca09856a83049360120f0cb10ef14a70f572c
Previous Hash: f783dcc4f86c9d3e27a6f730ccbfd7ab80e8717f0578bb0ac617c5623be5e5d5
Merkle Root: b90e4e241dc1ddf7e1b91a4b58ae67eb01b0867a60dbf6f78657de87985d24a9
Random Number: 24435489
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- Alice sends $17 to Charlie
- Bob sends $28 to David
- David sends $35 to Alice
- Charlie sends $18 to Alice
- Emily sends $16 to David
- David sends $10 to Alice
- David sends $19 to Alice
- Emily sends $11 to David
- Charlie sends $27 to Alice
- Charlie sends $40 to David
==================================================
