Block Hash: 896be44eb1ff74f4c464c90a991736a52a826492d2109c05eb512d31e1529868
Previous Hash: 943534d30743290b4024dfb10adf2206fa70ef064cbfc28855c6a6f05d9a904b
Merkle Root: 2fcd8afbb4e60a08127fe9481d7ed0a3c3d988ea53883ed14323773162f289f5
Random Number: 832017415
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- David sends $28 to Alice
- Charlie sends $39 to Bob
- Alice sends $42 to Bob
- Emily sends $28 to David
- Alice sends $45 to Emily
- Emily sends $47 to Charlie
- Emily sends $33 to Bob
- Emily sends $12 to David
- Charlie sends $36 to David
- Charlie sends $12 to Bob
==================================================
