Block Hash: bea0bb2db437fa5da1b2de6a074759a3deef56f0384579d065c5c7ebc3060036
Previous Hash: 4e70d84c8e3afa073f48bbefe604758f01a34c9bd8a723edd144daa8056048b9
Merkle Root: c5144856fc9ce8e36dec6eb8f8720fca256ffcfa7098753b3797252e70db329a
Random Number: 569395508
Forward Hash: 0
Timestamp: 2023-11-17 11:12:34
Transactions:
- David sends $34 to Alice
- Bob sends $41 to David
- Bob sends $31 to David
- Bob sends $17 to Emily
- Emily sends $21 to David
- Alice sends $48 to Charlie
- Charlie sends $23 to David
- Bob sends $15 to Charlie
- Bob sends $43 to Charlie
- Bob sends $34 to Emily
==================================================
