Block Hash: ad79d6876e94d3ed4153ffbb8dbc626d7cc838717ce316ec91f879a0a0b761a6
Previous Hash: 3ca00e9a8e9fb264a435138ed41ae75e1374ad611a717e9d305aaebcb4ad44b1
Merkle Root: bdf307948eae87bd289cbd2a8fe4c13cb01cbe5fb840f1739acbe9f63e02b33e
Random Number: 467969141
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Alice sends $24 to Emily
- Charlie sends $40 to Bob
- Bob sends $41 to Alice
- David sends $17 to Charlie
- Charlie sends $36 to Alice
- Emily sends $39 to Charlie
- Bob sends $35 to Alice
- David sends $39 to Alice
- Charlie sends $32 to Bob
- Bob sends $43 to Alice
==================================================
