Block Hash: 48baa157ab4a76bc63164f70b8d8a962a941c04461302e39b4534f45e8da02fc
Previous Hash: e6a5791af7b31215c46a32fdb79886ad3e16924365325730ef520235161664d2
Merkle Root: 66cd4b116115b25b46afe2131f04337d7fc808781837f62294efb76a5907b0bc
Random Number: 503286105
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- Charlie sends $32 to Bob
- Alice sends $46 to David
- Emily sends $28 to David
- Alice sends $45 to David
- David sends $15 to Alice
- Alice sends $25 to David
- Bob sends $39 to Emily
- Emily sends $43 to David
- David sends $26 to Alice
- Alice sends $35 to Charlie
==================================================
