Block Hash: 32b411c858b0abf6bce4ba529ba25553d74d88a6f683c5863acc697b834724d2
Previous Hash: 7a1d82323348945d1f672a732c765853087cb861ba26c36c3886d0ac0d99d276
Merkle Root: abd1bba1a7b4f8766909cee18869fb90cf7e95d5a2c73fd84628c611236a0dfe
Random Number: 201227547
Forward Hash: 0
Timestamp: 2023-11-17 11:13:03
Transactions:
- Emily sends $39 to Charlie
- Charlie sends $45 to Bob
- Charlie sends $13 to Bob
- David sends $22 to Bob
- Bob sends $32 to Alice
- Bob sends $29 to Emily
- David sends $14 to Alice
- Charlie sends $25 to Bob
- Bob sends $18 to David
- Charlie sends $18 to Alice
==================================================
