Block Hash: dcb013fd8a483cf9f891e6d9ec8092766dffa488fbd86cf386acbd605a7d5943
Previous Hash: 1a07e32d305affa73da0ad0391524334a4cb878ae5e029a50bae8377fa9ca3b3
Merkle Root: 9deac193f7914e8e80aac607d38942b104d68651071b6f4352a18a5e31e34b37
Random Number: 230170952
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- Charlie sends $14 to Alice
- Alice sends $18 to Emily
- Bob sends $35 to David
- Alice sends $35 to Bob
- Alice sends $48 to Emily
- Bob sends $31 to David
- Alice sends $22 to David
- Bob sends $26 to Emily
- Bob sends $42 to Charlie
- Emily sends $20 to David
==================================================
