Block Hash: e7f1a73e010cc127e533a8dbba3645dd57eefe674d6db21a0aaa8630e29f3a13
Previous Hash: 96a75652039b41ef502d8271a5cd9ff45b57914c7f3b55ab80b7408a10af93c9
Merkle Root: 40e0ed64a66a9af6285d49223f5c121ceff85b53df265591c89a48d8c20071c2
Random Number: 681993015
Forward Hash: 0
Timestamp: 2023-11-17 11:13:00
Transactions:
- Bob sends $36 to David
- Charlie sends $10 to Bob
- David sends $40 to Alice
- David sends $12 to Charlie
- Charlie sends $45 to Alice
- Charlie sends $50 to Emily
- Charlie sends $17 to Emily
- David sends $35 to Emily
- Alice sends $27 to Charlie
- Alice sends $26 to Bob
==================================================
