Block Hash: baf5c25b61107eec2a732a86268c26c52f2fcde0c37082204ea0608d85fef0f9
Previous Hash: 8125ce670383c5281c5da8df8f46c2fe12e3edcd7d2cce4f0cdf639b290707b6
Merkle Root: 7a5241067a7a1513d0d01622954e70299d64c4843a4699d2221de3b4974008f8
Random Number: 915508409
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Emily sends $20 to Bob
- Charlie sends $32 to Emily
- Bob sends $26 to Charlie
- Charlie sends $30 to David
- Bob sends $14 to David
- Charlie sends $27 to David
- Charlie sends $46 to Alice
- Bob sends $27 to David
- Bob sends $31 to Charlie
- Bob sends $19 to Alice
==================================================
