Block Hash: 02e055ccc45aec7ce41ba1aa0f5421d0eb1c98b4810d0f92ff5dff250427d1e6
Previous Hash: 2a69502ab9287997f1b7ce7365bc98ab639ee0b9898808221449ca1927962e1f
Merkle Root: 767191257448bd0f4688b34c3410db9384b9eb526a2ed9d02fcc7f8bad0ce5d7
Random Number: 244843606
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- David sends $34 to Emily
- Bob sends $32 to Alice
- Alice sends $49 to Bob
- Charlie sends $30 to Bob
- Charlie sends $26 to David
- Charlie sends $39 to David
- Charlie sends $31 to Bob
- Bob sends $47 to David
- Bob sends $45 to David
- Bob sends $18 to Charlie
==================================================
