Block Hash: fb0bd2ecf22ca0d7a919eea6961ed7c60b43a75ffa634543013f489564a68f9b
Previous Hash: e72ca0317e274a508e54fdc68add71e7b0b51d38e213177bcba1c80ae0904ac8
Merkle Root: db230ee4b7066163f84c933966094a484ab770e5ddef628b86e2a807b194b424
Random Number: 307985829
Forward Hash: 0
Timestamp: 2023-11-17 11:13:03
Transactions:
- Emily sends $48 to Alice
- Alice sends $32 to Charlie
- Bob sends $47 to Emily
- Charlie sends $20 to David
- Bob sends $50 to David
- Bob sends $18 to David
- Alice sends $28 to Charlie
- Alice sends $34 to Charlie
- Bob sends $19 to David
- Bob sends $14 to Emily
==================================================
