Block Hash: 41de866c7c72101fd42bf9a035d40221b504568ef56a5e1605d8533c0d8e73e8
Previous Hash: d3073bad3459408b58c7354346955afef8350a7cb8e91c9870cd20cae6edb694
Merkle Root: 0fb7241c3e5cc47f54d8f12344cb4ebc889285bb1364f8caf6cb6cdb78461058
Random Number: 741088152
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- David sends $28 to Alice
- Bob sends $19 to Emily
- Bob sends $18 to Charlie
- Charlie sends $13 to David
- Charlie sends $34 to Emily
- Alice sends $45 to Emily
- Bob sends $30 to Emily
- Alice sends $36 to Emily
- Alice sends $13 to David
- Bob sends $28 to Emily
==================================================
