Block Hash: 53b3e3d59f17b0be74d6b55447e486d384eb47e169770d21fe98cef484982c3d
Previous Hash: 3ebe7e8e722d8d7aef0d2d65d6723a36dcb7dfd12bcd1345ddee67ca083dce72
Merkle Root: acdcdbf5d6dac22f6238a7b44a0bfdf7590774037fed8699b394993cdb96364b
Random Number: 169769019
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- Bob sends $29 to Alice
- David sends $14 to Bob
- David sends $24 to Charlie
- David sends $19 to Emily
- Alice sends $47 to Bob
- Alice sends $50 to Bob
- Alice sends $22 to Bob
- Charlie sends $28 to Bob
- David sends $31 to Charlie
- David sends $13 to Bob
==================================================
