Block Hash: a01784cd57604a6a45cff0c7af0b10c77efd61f8e6f55c1c09849ffefb099431
Previous Hash: 6522698c4b19fbd9efc6447bb1bc908873630ffebbed79bd1a9765f0eac2dfe9
Merkle Root: 20e42e5d4b9c78c49fd43b517d3d261c1b8abe36a47316c8534adb7da6a483fe
Random Number: 271927615
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Alice sends $18 to David
- David sends $22 to Alice
- David sends $19 to Bob
- Bob sends $41 to Emily
- Bob sends $48 to Emily
- Bob sends $46 to Charlie
- David sends $29 to Bob
- Bob sends $45 to Alice
- David sends $36 to Charlie
- Charlie sends $17 to Bob
==================================================
