Block Hash: 19599e18bdd7b5436278a308b821af82d6f6ca24c0412d91a49a365fbe504bcc
Previous Hash: 9ce0696f1c7a1cec48e608a9e0e3e61f1a2d835e113aac6860238d181c0a9aa0
Merkle Root: 45da4cc475a890302fd0d7123599e8c55f6b4697a080303d2d641319d8ce219f
Random Number: 169000338
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- Bob sends $33 to David
- Emily sends $37 to Alice
- Alice sends $16 to Bob
- David sends $48 to Bob
- David sends $23 to Alice
- David sends $11 to Charlie
- David sends $47 to Bob
- Emily sends $44 to Bob
- David sends $43 to Emily
- Charlie sends $43 to Emily
==================================================
