Block Hash: b0d97fad4610da53b3752ed280dcd3aec18e5de1fa4dadfeb1e93279782d17af
Previous Hash: 8f6303bbf36c541950c67e38d31d132bc33a0dade90f7ec5e2b71eec5612dc79
Merkle Root: 295973b0aeb37f65763703f1ba4efb4e1e6ee954784c910438aefa3dfa9132da
Random Number: 629647111
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- Charlie sends $42 to Bob
- Emily sends $36 to David
- Emily sends $49 to Alice
- Bob sends $29 to David
- Emily sends $13 to David
- Bob sends $40 to Charlie
- Bob sends $16 to Charlie
- Bob sends $44 to David
- Alice sends $49 to Emily
- Alice sends $36 to David
==================================================
