Block Hash: ac4b140b39b5024ef82acdcc14a6e3cd8f179b08fe84cdb06c5df68f1f885e19
Previous Hash: cf939be76c431384f614fffa331f51f50f12a3560b9f769c39b8128c714dec18
Merkle Root: d1871a349851a6dc840e14945f7a656486986f92db98045d362c94d7abef982f
Random Number: 796521545
Forward Hash: 0
Timestamp: 2023-11-17 11:12:43
Transactions:
- David sends $30 to Emily
- Emily sends $20 to Bob
- Charlie sends $38 to Alice
- Alice sends $10 to Bob
- Alice sends $39 to Bob
- Bob sends $38 to Charlie
- Emily sends $24 to Alice
- Emily sends $48 to Alice
- Bob sends $16 to Alice
- Alice sends $25 to David
==================================================
