Block Hash: 9ebfb2bbf7bcf2afb5bd8e65c8ca422099aacce60e7d87fe8bb0ede4e397633e
Previous Hash: 7dcf40fbcd9a9d92d52b0e139dcfe497558316c6eab9eaa0382f9719b2b5d547
Merkle Root: fffacef08044de135d5695d5c06af89b7ba54a4bb6bd4ab2af1c3ab1a6ee6610
Random Number: 167126081
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- Alice sends $17 to Charlie
- David sends $13 to Alice
- Emily sends $43 to Bob
- Emily sends $15 to Alice
- David sends $44 to Alice
- Charlie sends $29 to Alice
- Bob sends $28 to Alice
- Charlie sends $14 to Bob
- Bob sends $14 to David
- Bob sends $26 to David
==================================================
