Block Hash: 0c5e6b965c02747f694614a7396921cb1d54530cc17606c241913cc3f752eaa5
Previous Hash: ed7102e42ffe9868a83a0e1ed8471b8279d985d24d36998c44bff63f6972a691
Merkle Root: e8b0df0be23edb0581eac4382a57f81d0e408b4adc24226cae8705a2dbae3634
Random Number: 593748825
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Alice sends $42 to Bob
- Emily sends $23 to David
- David sends $19 to Alice
- Charlie sends $41 to David
- Bob sends $47 to Alice
- Bob sends $12 to Alice
- Charlie sends $50 to Alice
- Emily sends $26 to David
- Emily sends $25 to David
- David sends $23 to Emily
==================================================
