Block Hash: 4df324e6fb979c8479401313b57737d871e2e82f3e74f8417365953993ce67c1
Previous Hash: 3b027d3fc1753db51e66699d56d322f5ead9613517f8f34f14eba803effffeb9
Merkle Root: 381525fbe0ca41690af1d6cd43c69a28192bcec6ac7ebed3c8522d56d86742ba
Random Number: 613775913
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Bob sends $21 to Emily
- David sends $10 to Charlie
- Emily sends $27 to Bob
- Emily sends $19 to Alice
- Alice sends $21 to Charlie
- David sends $23 to Bob
- Charlie sends $50 to Bob
- Charlie sends $47 to Bob
- Emily sends $40 to Alice
- Charlie sends $15 to Bob
==================================================
