Block Hash: d97a97c11bb71a6efc2dcb7d00fbee9953c10af9c55df45aaace4796a09e6473
Previous Hash: a84f228c915086560f440ebe497a0bcfb1485de188d2c3949bf7bc2038facc1c
Merkle Root: 049f1f5ddf853394271869df11cc7a97998dd667e39154dfea93ba2cada76059
Random Number: 385699075
Forward Hash: 0
Timestamp: 2023-11-17 11:13:04
Transactions:
- Emily sends $39 to David
- Charlie sends $32 to Bob
- Charlie sends $49 to Emily
- David sends $14 to Charlie
- Charlie sends $12 to Bob
- Alice sends $44 to Bob
- Bob sends $40 to Emily
- Alice sends $43 to Bob
- Bob sends $28 to Emily
- Charlie sends $34 to Bob
==================================================
