Block Hash: 4fb19b10d7db01c9e830d1d8364bb9ecefb40c28be05af4fd9896b87c17189b6
Previous Hash: 65cf5d2215af097ae01e6a86d2c5f16e21913a0790cf625d02f69839627f8106
Merkle Root: 05ceb985f67eab6719c00797a837efed1ccb23e97464bec9920bbf3852f84726
Random Number: 467461271
Forward Hash: 0
Timestamp: 2023-11-17 11:13:01
Transactions:
- David sends $25 to Alice
- Alice sends $21 to David
- Charlie sends $11 to David
- Bob sends $48 to David
- Alice sends $11 to Bob
- Alice sends $40 to David
- Alice sends $28 to Emily
- Bob sends $30 to Emily
- Charlie sends $40 to Bob
- Emily sends $39 to Charlie
==================================================
