Block Hash: e19c4c290a5c3007864c7a38a79f31267ca030a03ac1ae6d9eac9f91ad4a4b66
Previous Hash: 9b46a91b9f3d71a817298cf71cc90f1986056f982f327c201f229d63d53ab2ab
Merkle Root: ded25053c8523806884835145e5694928ec62e83fa7041a9bf80b9b5b4f72317
Random Number: 225575528
Forward Hash: 0
Timestamp: 2023-11-17 11:12:54
Transactions:
- Alice sends $16 to David
- Bob sends $43 to Alice
- Charlie sends $21 to Bob
- Bob sends $14 to Charlie
- Charlie sends $11 to Emily
- Emily sends $19 to Charlie
- Emily sends $31 to Bob
- David sends $47 to Alice
- Emily sends $37 to Bob
- David sends $27 to Alice
==================================================
