Block Hash: d38879c5f282ec509973a7eb254002beb7122b41f1c578348e894ba8a72e13f5
Previous Hash: 20e705539695b5f9544266d93148953b21718f8c361ad66c6dfe411987d5ce17
Merkle Root: d5e52a851bbccdbdc1a98c61eab971b1057067bc894f9e04af031be595634c6f
Random Number: 716376385
Forward Hash: 0
Timestamp: 2023-11-17 11:13:06
Transactions:
- David sends $25 to Emily
- Charlie sends $35 to Alice
- Emily sends $25 to Alice
- Bob sends $11 to David
- Emily sends $37 to David
- Bob sends $27 to Alice
- Alice sends $13 to Bob
- Alice sends $26 to Bob
- Emily sends $41 to Charlie
- Alice sends $29 to David
==================================================
