Block Hash: 3ca303da287c14fadeaab5d5e7132e5554cf9b87a06dd472ab4ae919716480c9
Previous Hash: afeb8aba7824dc97d1df6a1fdb518539b727142ce5100dab6034458666090afc
Merkle Root: 390d08d7aefeb7eaf0b19f3da6aa8bbb238141555cb6761f8027f0c0dda64591
Random Number: 79688321
Forward Hash: 0
Timestamp: 2023-11-17 11:13:01
Transactions:
- Emily sends $20 to Charlie
- Bob sends $18 to Emily
- Alice sends $35 to Emily
- David sends $49 to Bob
- David sends $36 to Emily
- Bob sends $42 to Alice
- Bob sends $25 to Alice
- Alice sends $44 to Bob
- Bob sends $23 to Alice
- Bob sends $41 to David
==================================================
