Block Hash: 57a03fe39a28d90b4a81962adbdd2354c0125204b02c18aa231a6e3d6d6c0ae6
Previous Hash: 7179a96b00c8abd40420f3877e67f36548d72f7627c7e6c22ed772cd2b1943bc
Merkle Root: 9851b47287ecc0a49f9fc769936a37c30ace08dc4d0be0335678f9e1fc792c3b
Random Number: 597875889
Forward Hash: 0
Timestamp: 2023-11-17 11:12:39
Transactions:
- Bob sends $43 to Alice
- Emily sends $49 to David
- Emily sends $18 to Bob
- David sends $12 to Charlie
- Emily sends $16 to Bob
- Alice sends $40 to David
- David sends $40 to Bob
- Alice sends $43 to Bob
- David sends $44 to Charlie
- Charlie sends $16 to Emily
==================================================
