Block Hash: 2f6ed2ff6c317ce9dc06143c2ba11bcf97fb4e6dc95031e804e3433d7bd5af88
Previous Hash: 6649456458647ba5749ef34b58ab7e135df9360874510df1f0768fcd1b681896
Merkle Root: b8d9a5fdd49ee222ee4d1cceefee96c7e2dbfc528ac0286fcfbec9d8d685f149
Random Number: 489725512
Forward Hash: 0
Timestamp: 2023-11-17 11:12:46
Transactions:
- Bob sends $46 to Charlie
- Alice sends $42 to Bob
- Emily sends $34 to Bob
- David sends $45 to Emily
- Emily sends $43 to Alice
- Emily sends $24 to Bob
- Alice sends $33 to David
- Charlie sends $30 to Emily
- Emily sends $28 to David
- Emily sends $35 to Bob
==================================================
