Block Hash: 34b63dbf32c32fbb986babc1b4dfc48968f04dd6dc1ad1f9273dd9725ba14233
Previous Hash: 5ef851fe34dfe267e2b149abde7e391b5dbf0f6012607c18cd0e5ceb90fbdc0e
Merkle Root: 3a47426ce9ec70fe88d2a02a444857247c8036afa62b9b359db6598e9e363270
Random Number: 857897343
Forward Hash: 0
Timestamp: 2023-11-17 11:12:57
Transactions:
- Alice sends $40 to David
- David sends $46 to Bob
- David sends $28 to Bob
- David sends $11 to Alice
- Charlie sends $39 to Alice
- David sends $19 to Charlie
- Bob sends $37 to Charlie
- Charlie sends $18 to Alice
- David sends $27 to Bob
- Emily sends $36 to Charlie
==================================================
