Block Hash: fbf06a1ceb66ced062de46b61ed782cb922ffc4a474f28cdff3db5fbee4ac6d4
Previous Hash: 3568ee4c5ff5922d9a399c20046dde54ccc6d9ebcde591e955448766e130b4e6
Merkle Root: c6b9ae1709cea2d72fea292559addbd53ef2b5d8b247ee6eac0a2096f1b285a8
Random Number: 659821125
Forward Hash: 0
Timestamp: 2023-11-17 11:12:55
Transactions:
- Alice sends $42 to David
- Charlie sends $10 to Alice
- David sends $23 to Bob
- Bob sends $50 to Charlie
- Charlie sends $33 to Emily
- Charlie sends $21 to Bob
- David sends $49 to Alice
- Charlie sends $41 to Alice
- Charlie sends $30 to Bob
- Emily sends $39 to Alice
==================================================
