Block Hash: fd6aad6ff94cc5600b5144fee42194a1df8f0239e0e6050783911344e0bcfbc7
Previous Hash: 9e2d04b9f0fc58838039104fdcd61ec3d96a133ba1bea060684df3033711efa1
Merkle Root: 5a17bccc1413eebe6985e1907208b436f7f67964cc62e4ee619c356833b42f14
Random Number: 446720007
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Bob sends $44 to David
- David sends $20 to Charlie
- Alice sends $50 to Emily
- Alice sends $12 to Emily
- David sends $25 to Charlie
- David sends $43 to Charlie
- David sends $48 to Alice
- David sends $17 to Bob
- Charlie sends $16 to Alice
- Emily sends $32 to Alice
==================================================
