Block Hash: b4972c0b9bd16abaf7ef60474fca55380ea80def5378e8b73a9943347a437d70
Previous Hash: 343d1b074055d8f6a080e706d0a5c1546e7b19993f9b567049e9db4086930537
Merkle Root: a95e09eb0eba851d60acedf2e5d148a8bf7253f8511dc0c1427c1e8792972462
Random Number: 569920842
Forward Hash: 0
Timestamp: 2023-11-17 11:12:51
Transactions:
- David sends $23 to Charlie
- Charlie sends $28 to Bob
- Charlie sends $25 to David
- Charlie sends $16 to Alice
- Emily sends $11 to David
- Alice sends $20 to Bob
- Alice sends $18 to David
- Charlie sends $34 to Emily
- Bob sends $12 to Alice
- Alice sends $26 to Emily
==================================================
