Block Hash: c599dd44deeb6071c956224337c2752ad5ca21e0497ec270fdac34e5b361e107
Previous Hash: bb8a762546ac72946cc26cfdc7a478683c9f19990f111214f0ddbbbc50b0b0d9
Merkle Root: 97fda4b7d9249b283aba31c8d77777eab5acc34f68145b46e5986edc3722fd65
Random Number: 702681052
Forward Hash: 0
Timestamp: 2023-11-17 11:12:57
Transactions:
- David sends $18 to Emily
- Bob sends $17 to Charlie
- Charlie sends $45 to Alice
- Emily sends $18 to Alice
- Emily sends $19 to Bob
- Bob sends $30 to Charlie
- Emily sends $18 to Alice
- Alice sends $48 to David
- Charlie sends $39 to Alice
- Charlie sends $25 to David
==================================================
