Block Hash: 354fa2cac504c7028a8cf36acf226ec45ef589c7ee698139236c00a635198235
Previous Hash: 8530b1c946be2abd3ec385c10aa0d597fe1e6ab94385334b8ef111ac47a8686d
Merkle Root: 7dbdd591373dd641c8c9d5e3089b90989b103bc6bf600867d3ef926db8689ebc
Random Number: 768150880
Forward Hash: 0
Timestamp: 2023-11-17 11:12:34
Transactions:
- Emily sends $40 to Alice
- Charlie sends $25 to Bob
- Alice sends $11 to Bob
- Bob sends $26 to Emily
- Charlie sends $15 to Bob
- Bob sends $15 to Emily
- Charlie sends $24 to David
- Alice sends $50 to David
- Alice sends $20 to Charlie
- Alice sends $49 to Emily
==================================================
