Block Hash: af3443d6ad34fd7159792857a85e8de3fce783ca1f04b7c1ea2791e4555f03f1
Previous Hash: b0746c26dd30bd12efea7e93fa0359b50f7e81125b80c36b6858dd52a547a1b4
Merkle Root: e381c1d842a6393e730fb838e7335a66250d6597fb0489cbffcd233537c41f4f
Random Number: 311627893
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Charlie sends $38 to Alice
- David sends $27 to Emily
- David sends $13 to Emily
- Emily sends $42 to Charlie
- Alice sends $39 to Charlie
- Emily sends $46 to Bob
- David sends $23 to Bob
- Emily sends $21 to Charlie
- Alice sends $35 to David
- David sends $29 to Charlie
==================================================
