Block Hash: 2ffa696d5f102947f76a8b5f752e20f47e214fe5920835ee002c2384688e0b91
Previous Hash: 7086ddc94985c593a3ee40aa3acc851fd0425e6c91666d90715c56f8956e18a0
Merkle Root: 018b103bd6bd815907545914df9f4ceb903dcd9d9cfae45004f0f20f5f471075
Random Number: 447291846
Forward Hash: 0
Timestamp: 2023-11-17 11:13:08
Transactions:
- Bob sends $48 to Alice
- Alice sends $19 to Emily
- Emily sends $34 to David
- Charlie sends $19 to David
- Charlie sends $50 to David
- David sends $46 to Emily
- Alice sends $48 to David
- Charlie sends $15 to David
- Charlie sends $44 to Emily
- Alice sends $14 to Bob
==================================================
