Block Hash: 0652b98dba3432a2b1d07aa7a738fa4aa4d2c11b5feea2c2fd9663abfd195eb4
Previous Hash: 46a0bf3fb392ec4ee9a295b052a83c8e10d600885068e3e959269bfda126d23b
Merkle Root: c19ca500a2944defe051660fb52e430623fcec443fe7e334b2d6f409c3ce4739
Random Number: 924308149
Forward Hash: 0
Timestamp: 2023-11-17 11:13:04
Transactions:
- David sends $23 to Charlie
- Emily sends $37 to David
- Bob sends $39 to David
- Emily sends $18 to Alice
- Emily sends $11 to David
- Bob sends $33 to Emily
- Alice sends $14 to David
- Bob sends $37 to David
- Bob sends $49 to David
- Alice sends $34 to David
==================================================
