Block Hash: 23a01fedae8c5e27ec21f6fc5b0b06ab78b1076d5ddaf4314f3040f946dfc617
Previous Hash: af63f92fb514d357df9f3805154c79da1e6bc98630057d2f7e7f881047703d9d
Merkle Root: 5f4c3ce834a3c94a95e380a26be97ddb79e6b897bcaa7c9a24aac0b61d7c1b71
Random Number: 582148069
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- David sends $10 to Bob
- Emily sends $35 to Alice
- Alice sends $49 to Charlie
- Charlie sends $35 to Emily
- Alice sends $26 to David
- Emily sends $46 to David
- Bob sends $18 to Charlie
- Bob sends $38 to Charlie
- Emily sends $48 to Charlie
- Alice sends $36 to David
==================================================
