Block Hash: 11302853933a11e55310da051e9b267937187ff64538e7e3471bfe7b7485ba09
Previous Hash: 48aab506b15da7e00099f00d974e0d8a98a1b9029306a3e98f1dd2f7e184bcfb
Merkle Root: 8726bef1ab149343eb6831cb797b4a0ff5ff528f76e93feaffa829a8009198d6
Random Number: 122094360
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Bob sends $11 to Emily
- Emily sends $41 to David
- David sends $14 to Charlie
- David sends $32 to Alice
- Charlie sends $49 to Alice
- Emily sends $32 to Bob
- Charlie sends $41 to Alice
- Alice sends $20 to Bob
- Charlie sends $31 to David
- Alice sends $36 to David
==================================================
