Block Hash: 6bbfd7fcf87fc821ec2d48d7bfad235d979a4ff8f6f15d0a84912b417bde1822
Previous Hash: 16a3b4c0564edba8c92ca1e3b7fe8503777fd260c5c622e0b7c3482ad8ee2a49
Merkle Root: 6fa39afea89e2dbe960c0062496418dd5b1f808d55ea15b04a5151a2c46fea83
Random Number: 124396774
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- Bob sends $41 to David
- Emily sends $26 to Charlie
- David sends $16 to Bob
- Alice sends $15 to Charlie
- Charlie sends $50 to Alice
- Charlie sends $25 to Bob
- Emily sends $33 to Charlie
- David sends $16 to Charlie
- David sends $28 to Emily
- David sends $15 to Alice
==================================================
