Block Hash: ed40ad93e4bf304818a84f0991c868d0a73dbc1910fbd294b48c79bb7ccad8b7
Previous Hash: c6f4d760d15e47ee872c14846d7596f5f76a2e13fb1b22b6f559cfae794a6e21
Merkle Root: 3967a0f62115ce25d8ff27c07a24a6d0e58ec84c7b0ead1d14227e8773da9156
Random Number: 970084705
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Alice sends $41 to Charlie
- David sends $27 to Bob
- David sends $28 to Bob
- Emily sends $24 to Alice
- Bob sends $25 to Emily
- David sends $36 to Bob
- Charlie sends $16 to Emily
- Bob sends $45 to David
- Bob sends $21 to David
- Bob sends $45 to Emily
==================================================
