Block Hash: d177c191112bb020ea5289182c34148cd2477857bcf7bd1670281ad020a3f9e5
Previous Hash: a4549f3f839b9c5f2f58b3c53bbf6bc190f21670d05866b6027ebd3c9fbc772a
Merkle Root: 31a9dbbc919889f2667e5f8ac0abd383608ea33e249df0769d49184e65dd3b5f
Random Number: 56970962
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- Bob sends $40 to Emily
- David sends $30 to Bob
- Alice sends $29 to David
- David sends $50 to Bob
- Charlie sends $33 to David
- Charlie sends $17 to Bob
- Charlie sends $16 to Bob
- David sends $44 to Alice
- Alice sends $31 to Charlie
- Charlie sends $21 to Alice
==================================================
