Block Hash: 1a6d1a9555ae5a8ad62d6059544af29f7fd264704f0c7ac2b67ed297d40bd546
Previous Hash: 3d52a2e3af59174e77856e9d0d63ccfb01a1f76d8025bef035c5be2a647fa75b
Merkle Root: 86ff4599c7e7fad8f1645acb7b91ad7dae883ee46717edbbda72427953c35d52
Random Number: 307048179
Forward Hash: 0
Timestamp: 2023-11-17 11:12:43
Transactions:
- Alice sends $49 to Emily
- David sends $16 to Charlie
- Bob sends $46 to Charlie
- Emily sends $15 to Bob
- Bob sends $36 to David
- David sends $50 to Charlie
- Emily sends $35 to Bob
- Emily sends $40 to Charlie
- Emily sends $34 to Bob
- Emily sends $19 to Alice
==================================================
