Block Hash: bd903badf3ea923fc01d7d2f855de49c1f0d8012ab7f1accc45412e012b80a6f
Previous Hash: aab5641c66e0e65cb73f8d7b5b5b84b936676749ae2e8cc9fb5948283fb97377
Merkle Root: 6ba648638257d1fa9e0175a782b92d2a0dcbcd124944f746898628ce0440a302
Random Number: 57668961
Forward Hash: 0
Timestamp: 2023-11-17 11:12:56
Transactions:
- Bob sends $23 to David
- Charlie sends $21 to Alice
- Alice sends $10 to Charlie
- David sends $30 to Bob
- Alice sends $39 to Bob
- David sends $20 to Emily
- Emily sends $21 to Bob
- David sends $38 to Emily
- Charlie sends $18 to Alice
- Charlie sends $49 to Bob
==================================================
