Block Hash: e8c397e8e676c4ed374bf7611f963d386bc575a212736db42a8f3771dcbb936c
Previous Hash: 66d3f717472fa121d92fb8809288522c801b4c2e979b550fa4d01aee62489aa6
Merkle Root: 13df3c3b0b1d581ce2e255925fc15bd12330b3d065bd18b19908ee6fc72b65ce
Random Number: 640652362
Forward Hash: 0
Timestamp: 2023-11-17 11:13:04
Transactions:
- David sends $27 to Alice
- Alice sends $25 to Emily
- Emily sends $39 to David
- Emily sends $13 to Charlie
- Emily sends $42 to Charlie
- Bob sends $45 to Emily
- Emily sends $23 to Bob
- Charlie sends $12 to Emily
- Bob sends $35 to Charlie
- Alice sends $44 to Emily
==================================================
