Block Hash: d3863484ecab4d6aa9096d3161e1509b52b3fcf1ff7569423d642d6e674bef91
Previous Hash: 0a9d3c14bd446ab9cd273892e4931ee8d710f80a8618346a5beed53a662dcda1
Merkle Root: cba3b3f149dce701154b9e991481b9818e6028f7ee93602d8a9999a9ae81126c
Random Number: 169539968
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- Charlie sends $11 to Bob
- Emily sends $15 to Charlie
- David sends $23 to Emily
- Bob sends $45 to Charlie
- Alice sends $42 to Emily
- Bob sends $38 to Charlie
- Emily sends $24 to David
- Bob sends $18 to Charlie
- Bob sends $17 to Alice
- Bob sends $27 to David
==================================================
