Block Hash: a44a0221564520133810e819c06a0f3d1a77740b4be8f927a3361b61571cc81a
Previous Hash: a0a9db098101d443f2b6180b4e60f6fa1bbfb6149a0fc3e9765718102a5cc3b6
Merkle Root: 8daff854d99628906763e765e1da4cc801075f96b40cbd1006d50a4b2ada2547
Random Number: 547476514
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Emily sends $45 to Alice
- Alice sends $42 to Charlie
- Alice sends $26 to David
- David sends $38 to Charlie
- Bob sends $21 to David
- Bob sends $25 to David
- Alice sends $49 to Emily
- Alice sends $10 to Charlie
- David sends $31 to Charlie
- Bob sends $25 to Charlie
==================================================
