Block Hash: 441d23eebdcf20ec482cdd6fb93015fb19b486ce20b06aa38e60232ee5c4eea7
Previous Hash: 4daa7656d040f62d1f3f1722175672f94e9031a4ad8fbad51185d4b7cc6605d5
Merkle Root: 5e29b347f35296eba7fed69c094edce4b824b7ddb1d78f09a21bdc90a5fcc7f1
Random Number: 493989751
Forward Hash: 0
Timestamp: 2023-11-17 11:12:34
Transactions:
- David sends $19 to Alice
- Alice sends $21 to David
- Emily sends $33 to Bob
- Alice sends $45 to Charlie
- Bob sends $17 to Charlie
- Charlie sends $23 to Bob
- Charlie sends $24 to Emily
- Alice sends $46 to Charlie
- Bob sends $36 to David
- Bob sends $31 to Emily
==================================================
