Block Hash: f673e2f63acad09f599e31efbd9c0400adcf408beca8c95ccce30fb45da84a87
Previous Hash: 24b01c0270efdf9bd2baa42a97a198dda5cdfb0ac3dcb9a58c99a1a1d7061b07
Merkle Root: 42a766faad28b106e1590865e14c0af78f76b368e4b65b9a65a00bc0cdaeed8f
Random Number: 82227635
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- David sends $18 to Bob
- Alice sends $24 to David
- Alice sends $10 to Charlie
- Charlie sends $39 to Emily
- Charlie sends $21 to Alice
- Charlie sends $16 to David
- Emily sends $11 to David
- Bob sends $23 to Alice
- Charlie sends $31 to David
- Emily sends $47 to Charlie
==================================================
