Block Hash: 26f43180b383432c3f87c0cec9a9eb187724d3bd8debf59af353f2671e8f3ea3
Previous Hash: 6a627278ced1bdc76470b4c70265db88cb30bd7f5b526e8046e4acda094cf7d3
Merkle Root: 94f097d17661a28f80a59624f191587d8336218f9a304ff3cbf2317d19d2b206
Random Number: 936321880
Forward Hash: 0
Timestamp: 2023-11-17 11:12:34
Transactions:
- Alice sends $39 to David
- David sends $37 to Charlie
- David sends $21 to Alice
- Emily sends $34 to Charlie
- Charlie sends $20 to Emily
- Charlie sends $36 to Emily
- Charlie sends $35 to Bob
- Charlie sends $20 to Bob
- David sends $38 to Emily
- David sends $23 to Alice
==================================================
