Block Hash: 09454abe70b791810b96b03ba574ecc22e5268a6ddc57011d5ab01cae51c8115
Previous Hash: 89279946e421b6f64c8ce259d8a34b009a79399f1ad01758ff507f37ba215acd
Merkle Root: 39b0f88e579684d545694810438bbeea6e549f57f7680a34add32cd3e1affdc2
Random Number: 452961021
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Charlie sends $35 to Bob
- David sends $12 to Charlie
- David sends $14 to Alice
- Alice sends $42 to Emily
- Emily sends $50 to Charlie
- Alice sends $41 to Charlie
- David sends $48 to Charlie
- David sends $50 to Emily
- Bob sends $44 to Alice
- Emily sends $15 to Alice
==================================================
