Block Hash: 05ce5f8d10e214e8bdaa0a3c2d6afb56daa10741305505680ca1f7c22d723a89
Previous Hash: 3b9b58c5cb7f1d6ff845aadbcf6d06603edd31c1b4d4f8781295ca55380266c9
Merkle Root: d086ba6f7a97ca7d3997231c7788efbaafcc65296e2ed29ab0b0d62a6bcbfa12
Random Number: 884991572
Forward Hash: 0
Timestamp: 2023-11-17 11:12:59
Transactions:
- Bob sends $49 to David
- David sends $42 to Charlie
- David sends $18 to Bob
- David sends $49 to Charlie
- Emily sends $16 to Bob
- Alice sends $44 to Bob
- David sends $28 to Charlie
- Emily sends $24 to Alice
- Alice sends $27 to Charlie
- David sends $44 to Emily
==================================================
