Block Hash: a94b08706f97a7b1bd63e9f3f4ec4af6b2ae259312f1ff382d524955c7bf3346
Previous Hash: b7ad721b9d93cc5e9c64c1dcfa4b8e53bee23e8c0e6c29f77e6d9cd7627409e4
Merkle Root: 8a143030f3ef1afc67a8189a6cef44e0e1cfb0c6802fd124a6e92bf41bc32052
Random Number: 479192275
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Bob sends $20 to Charlie
- Charlie sends $47 to Emily
- Alice sends $34 to David
- David sends $12 to Alice
- Charlie sends $30 to Bob
- Emily sends $30 to David
- Charlie sends $40 to Bob
- David sends $28 to Bob
- Alice sends $21 to David
- Emily sends $38 to Bob
==================================================
