Block Hash: 535c7cc12ba2f7316c88d31e4a893b4299a6fb0f3ae1a1557023993a4f28199c
Previous Hash: 75b38f4587d93238f1ee37f6ae076ba30de551175dd7eeb4894e14d184aa44ce
Merkle Root: fd74dc115f033527879ea2bab281a133b2c18b0f5342a1289c78197fc89a0b20
Random Number: 3900511
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Charlie sends $24 to David
- Alice sends $18 to Charlie
- David sends $25 to Charlie
- Bob sends $22 to Emily
- David sends $23 to Emily
- Emily sends $25 to Bob
- Alice sends $29 to Bob
- Bob sends $19 to Alice
- Emily sends $48 to Charlie
- Bob sends $42 to Emily
==================================================
