Block Hash: c402575d42d0428fb45d6fab8c8e195034e8befe975b093ffb412a2aff3c23ee
Previous Hash: dd8bd04a9b51cd10ff7e9f786edb249285c2bfc41f95e7ed4b04fd6f26b1b6d8
Merkle Root: 343c4554d0fbe29d6cab97e277f125690cb7923f1d01932d7b7437737b1640a4
Random Number: 171781977
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Bob sends $36 to Emily
- David sends $13 to Charlie
- Emily sends $11 to David
- Emily sends $35 to Charlie
- David sends $17 to Bob
- Emily sends $27 to Alice
- Emily sends $11 to David
- Charlie sends $15 to Bob
- David sends $42 to Bob
- Charlie sends $48 to Bob
==================================================
