Block Hash: 0115aa64d606dac099ec6918b8eb5b6b5ad46ebb5c24cb42d38475863e83f82a
Previous Hash: 0b617faf07ab0b57326e57b8be08b5151c89dd50910f0006d188adce1dcdf2cf
Merkle Root: dd2369d3c210cddcac05207f599da80dd6dfd3d78379fcabf76ccdc9c220c50d
Random Number: 405223093
Forward Hash: 0
Timestamp: 2023-11-17 11:12:31
Transactions:
- David sends $21 to Alice
- Bob sends $32 to Charlie
- Emily sends $22 to Charlie
- Bob sends $12 to David
- Alice sends $22 to Bob
- Charlie sends $48 to David
- Bob sends $25 to Charlie
- Alice sends $22 to Emily
- Bob sends $39 to David
- Alice sends $12 to Bob
==================================================
