Block Hash: 0345e59d7f60ee0f5fde73b7cea9e994a2d892fea44ccf7c019cbfdaa797719f
Previous Hash: 7bd1a2a44fb8c174dbbc51e14e53b76674a4c5f0788ae701099c6f68145de036
Merkle Root: 2e750d185ce2db5b72e4dbf07ee7cff15d3af93a7aae0ead6f0d4617ad05607b
Random Number: 566872973
Forward Hash: 0
Timestamp: 2023-11-17 11:12:54
Transactions:
- David sends $42 to Bob
- Emily sends $27 to Alice
- Emily sends $11 to Charlie
- Alice sends $38 to David
- Alice sends $23 to Emily
- Bob sends $39 to David
- Charlie sends $35 to Alice
- Charlie sends $45 to Emily
- Bob sends $19 to Alice
- Emily sends $25 to Charlie
==================================================
