Block Hash: 4f31249b8e9050766c672802bb1e794c6736d3af924c8cac018102d0fa13d76a
Previous Hash: b0296768bf402a0e01003e15ebfba05cbc8a1ede257862e88e941928a452ab2d
Merkle Root: 6817a84d93f136a5b81ec3bf57d7848318fbd743191271f28d50347ef9a227e4
Random Number: 281114347
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- David sends $36 to Charlie
- Alice sends $17 to Bob
- Alice sends $45 to Bob
- Alice sends $49 to Emily
- Charlie sends $22 to Emily
- Alice sends $12 to Bob
- Bob sends $12 to Alice
- Charlie sends $46 to Alice
- Bob sends $33 to David
- Alice sends $43 to Emily
==================================================
