Block Hash: 95d8d9340e1b63bc51ea890dd4f73cef486a533b81c84ef21ff4550816d8a7c9
Previous Hash: 0fc543b3830ad487e57c5d629c475ac694565780000f3bdd35e0f8afc70917d6
Merkle Root: e66cec0fedceb2d3cc96cac5983ac49947a57d774db301e748da3b18f17e5098
Random Number: 740738877
Forward Hash: 0
Timestamp: 2023-11-17 11:12:57
Transactions:
- Bob sends $21 to Emily
- David sends $28 to Alice
- Alice sends $37 to Bob
- Alice sends $49 to David
- David sends $22 to Charlie
- David sends $19 to Bob
- Emily sends $42 to David
- Charlie sends $48 to Alice
- Alice sends $26 to David
- Emily sends $50 to David
==================================================
