Block Hash: 5935c9ee170c7054e7b3ab5918aa169bb038524a876e97eb564c9407eda4d549
Previous Hash: c227040eb10b237102ac8f30ace47b11ac568d47e537044b11fdb502448d033f
Merkle Root: a99d9fda964143c91e4eca17718fe1ce34ae2cc0b66e87b11eebccc90e597126
Random Number: 240595359
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- Emily sends $22 to David
- Charlie sends $33 to Emily
- Bob sends $37 to Emily
- Bob sends $34 to Emily
- David sends $33 to Emily
- Bob sends $36 to Alice
- Charlie sends $44 to Bob
- Bob sends $22 to Charlie
- David sends $47 to Charlie
- Charlie sends $43 to Bob
==================================================
